Slurred Speech,Corrected Speech
I habe a heatache,I have a headache
Can you swow down,Can you slow down
I am struggling to talk,I am struggling to talk
This food is very good,This food is very good
I need my medicine,I need my medicine
My shpeech ish getting worshe,My speech is getting worse
It is hart to talk,It is hard to talk
I have dippiculty speaking,I have difficulty speaking
Can you write that down,Can you write that down
Pwease hewp me,Please help me
I am tryimg my best,I am trying my best
I feew better today,I feel better today
I need to rest,I need to rest
Cam you turm off the lightsh,Can you turn off the lights
I am going to de hospital,I am going to the hospital
Can you help me sit up,Can you help me sit up
Can you turn off the lights,Can you turn off the lights
This is frustrating,This is frustrating
Please give me a minute,Please give me a minute
I want to dwink coffee,I want to drink coffee
I have difficulty speaking,I have difficulty speaking
Cam you slow towm,Can you slow down
I feel short of breath,I feel short of breath
I need a glass uf water,I need a glass of water
I cannot move my arm,I cannot move my arm
I am in pain,I am in pain
Please call my doctor,Please call my doctor
It is dippicult to chew,It is difficult to chew
I wouwd wike some tea,I would like some tea
My legs feel weak,My legs feel weak
My name is Juhn,My name is John
I feel dizzy,I feel dizzy
I meed my medicime,I need my medicine
I nid to rest,I need to rest
I feel like I am shlurring,I feel like I am slurring
My speekh is getting worse,My speech is getting worse
The weather is nice today,The weather is nice today
I am trying to speak klearly,I am trying to speak clearly
My name ish John,My name is John
I habe an appointment totay,I have an appointment today
Can you write that town,Can you write that down
I am not feeling well,I am not feeling well
Can you unterstant me,Can you understand me
Can yuu turn uff the wights,Can you turn off the lights
I am feeling tired,I am feeling tired
I neet my metikine,I need my medicine
I am peelimg sleepy,I am feeling sleepy
I cannut muve my arm,I cannot move my arm
I am goimg to te hospital,I am going to the hospital
I am having twouble swallowing,I am having trouble swallowing
The weathew is nike today,The weather is nice today
I am filimd cold,I am feeling cold
I nid water,I need water
Please help me,Please help me
Can you tuwn opp the lights,Can you turn off the lights
I am strugglimg to talk,I am struggling to talk
I am having trouble swallowing,I am having trouble swallowing
I am feelimg cold,I am feeling cold
I am doind to the hospital,I am going to the hospital
I feew dissy,I feel dizzy
This is prustrating,This is frustrating
Could you repeat that,Could you repeat that
The weadew is nice today,The weather is nice today
My name is John,My name is John
